estudiantilcs_pal@unal.edu.co,OWNER
unnoticias_pal@unal.edu.co,OWNER
sisii_nal@unal.edu.co,OWNER
rectorinforma@unal.edu.co,OWNER
reconsejobu_nal@unal.edu.co,OWNER
protecdatos_na@unal.edu.co,OWNER
postmasterdnia_nal@unal.edu.co,OWNER
postmaster_unal@unal.edu.co,OWNER
postmaster_pal@unal.edu.co,OWNER
infraestructurati_dned@unal.edu.co,OWNER
gruposeguridad_nal@unal.edu.co,OWNER
estudiantilcsu@unal.edu.co,OWNER
estudiantilca@unal.edu.co,OWNER
enviosvri_nal@unal.edu.co,OWNER
dre@unal.edu.co,OWNER
dninfoacad_nal@unal.edu.co,OWNER
dned@unal.edu.co,OWNER
dgt_dned@unal.edu.co,OWNER
comunicado_csu_bog@unal.edu.co,OWNER
comdninfoa_nal@unal.edu.co,OWNER
boletin_un@unal.edu.co,OWNER
estfcapre_pal@unal.edu.co,MEMBER
estfiapre_pal@unal.edu.co,MEMBER
